Magnetic Field (Oe)	Moment (emu)
-2173.170776	-0.00026134
-2183.169678	-0.000261563
-2192.687134	-0.000262096
-2203.197021	-0.000261351
-2212.706787	-0.000261068
-2223.116211	-0.000261285
-2232.585571	-0.000260932
-2242.667358	-0.000261123
-2252.681396	-0.000261591
-2263.17981	-0.000261435
-2273.158203	-0.000261469
-2283.659424	-0.000261045
-2293.161255	-0.000261495
-2303.693726	-0.000261306
-2312.676147	-0.000261637
-2322.674194	-0.000261598
-2332.685181	-0.000261336
-2342.588989	-0.000261199
-2352.640991	-0.000261228
-2362.067871	-0.000261548
-2372.615601	-0.000261094
-2382.201538	-0.000261271
-2393.677612	-0.000261066
-2403.148315	-0.000261595
-2412.686157	-0.000261081
-2422.193237	-0.000261383
-2432.687622	-0.000260523
-2442.5802	-0.000260695
-2452.058228	-0.000261359
-2462.604126	-0.000261058
-2472.576416	-0.000261301
-2483.125244	-0.000261237
-2493.905884	-0.0002615
-2499.786499	-0.000261647
-2499.683594	-0.000261097
-2497.149902	-0.000262244
-2489.826904	-0.000261383
-2479.87561	-0.00026114
-2469.782227	-0.000260753
-2460.287109	-0.000261169
-2449.823975	-0.000261324
-2440.405884	-0.000261294
-2430.482056	-0.000261764
-2419.903076	-0.000260982
-2409.345581	-0.000261593
-2399.424438	-0.000261477
-2389.423584	-0.000261134
-2379.932983	-0.000261269
-2369.967773	-0.000261587
-2359.85376	-0.000260957
-2349.910034	-0.000261021
-2340.395996	-0.000261498
-2330.440186	-0.000261354
-2320.443848	-0.000261633
-2309.908813	-0.000260915
-2300.42688	-0.000261256
-2289.875122	-0.00026148
-2279.896973	-0.000261115
-2269.950684	-0.000261
-2260.3927	-0.000261237
-2249.956421	-0.000261329
-2239.955566	-0.00026175
-2230.445801	-0.000261699
-2220.440674	-0.00026106
-2210.394165	-0.000261597
-2200.387329	-0.000261531
-2189.910278	-0.00026146
-2179.889771	-0.00026175
-2170.378418	-0.000261631
-2160.393188	-0.000261343
-2150.40271	-0.000261456
-2140.427002	-0.000261402
-2130.430542	-0.000261484
-2119.90686	-0.000261356
-2110.45166	-0.000260981
-2099.997192	-0.000261687
-2089.974976	-0.000261338
-2080.951904	-0.000261826
-2070.472168	-0.000261806
-2060.454834	-0.000261143
-2050.41156	-0.000261632
-2039.954651	-0.000261005
-2030.431946	-0.000261241
-2020.42511	-0.000261308
-2010.440552	-0.000261023
-1999.958313	-0.00026132
-1990.033997	-0.000261393
-1980.50177	-0.000261586
-1970.49231	-0.000261343
-1960.554749	-0.000261884
-1950.55658	-0.000260903
-1940.449341	-0.000261303
-1930.44519	-0.000261396
-1920.50769	-0.000261219
-1910.526855	-0.000260993
-1900.510559	-0.000261754
-1890.462158	-0.000261216
-1880.52887	-0.000261643
-1870.543152	-0.000261462
-1860.570984	-0.000261843
-1850.543152	-0.000261518
-1840.509399	-0.00026125
-1830.993652	-0.000261424
-1820.552185	-0.000261664
-1810.490906	-0.00026129
-1800.427795	-0.000261085
-1790.506653	-0.000261708
-1780.712708	-0.000260606
-1770.85968	-0.000261365
-1761.328247	-0.000261207
-1751.338867	-0.000261514
-1741.320862	-0.00026119
-1731.343323	-0.00026075
-1720.919922	-0.000261228
-1710.903625	-0.000261047
-1700.816406	-0.000261431
-1690.755127	-0.000260891
-1680.817566	-0.000261372
-1670.411316	-0.000261618
-1661.406494	-0.000261437
-1651.377319	-0.000261504
-1641.334351	-0.000261251
-1631.312805	-0.000260793
-1621.371582	-0.000260827
-1611.365051	-0.000261465
-1600.347412	-0.000261409
-1590.861938	-0.000261011
-1580.882019	-0.000261047
-1570.868225	-0.000260619
-1561.435425	-0.000261211
-1550.449951	-0.00026064
-1540.922974	-0.000261077
-1530.922241	-0.000261254
-1520.973389	-0.000260777
-1510.968384	-0.000261001
-1501.4198	-0.000260923
